createddate,approval_type,rate
2021-02-15,Approval,0.54659613
2021-02-15,Disapproval,0.35463042
2021-02-15,Approval,0.54659613
2021-02-15,Disapproval,0.36463042
2021-02-15,Approval,0.55659613
2021-02-15,Disapproval,0.36463042
2021-02-15,Approval,0.55552327
2021-02-15,Disapproval,0.36745196999999996
2021-02-15,Approval,0.54553495
2021-02-15,Disapproval,0.34131166999999996
2021-02-15,Approval,0.54553495
2021-02-15,Disapproval,0.35131166999999996
2021-02-15,Approval,0.55553495
2021-02-15,Disapproval,0.35131166999999996
2021-02-15,Approval,0.55799336
2021-02-15,Disapproval,0.37421348000000004
2021-02-16,Approval,0.55552327
2021-02-16,Disapproval,0.37745196999999997
2021-02-16,Approval,0.60659613
2021-02-16,Disapproval,0.36463042
2021-02-16,Approval,0.55799336
2021-02-16,Disapproval,0.38421348
2021-02-16,Approval,0.59606598
2021-02-16,Disapproval,0.34669508
2021-02-17,Approval,0.55518611
2021-02-17,Disapproval,0.37188048
2021-02-17,Approval,0.5223586
2021-02-17,Disapproval,0.3787775
2021-02-17,Approval,0.54659613
2021-02-17,Disapproval,0.41463042
2021-02-17,Approval,0.52552327
2021-02-17,Disapproval,0.40745197
2021-02-17,Approval,0.55485593
2021-02-17,Disapproval,0.3758767
2021-02-17,Approval,0.5200875899999999
2021-02-17,Disapproval,0.37204054
2021-02-17,Approval,0.55266469
2021-02-17,Disapproval,0.36489514
2021-02-17,Approval,0.55628524
2021-02-17,Disapproval,0.37668766
2021-02-17,Approval,0.5360659799999999
2021-02-17,Disapproval,0.39669508
2021-02-17,Approval,0.5641320400000001
2021-02-17,Disapproval,0.39128004
2021-02-17,Approval,0.52799336
2021-02-17,Disapproval,0.41421348
2021-02-18,Approval,0.53659613
2021-02-18,Disapproval,0.36463042
2021-02-18,Approval,0.53659613
2021-02-18,Disapproval,0.36463042
2021-02-18,Approval,0.53659613
2021-02-18,Disapproval,0.36463042
2021-02-18,Approval,0.53659613
2021-02-18,Disapproval,0.37463042
2021-02-18,Approval,0.52659613
2021-02-18,Disapproval,0.37463042
2021-02-18,Approval,0.52659613
2021-02-18,Disapproval,0.37463042
2021-02-18,Approval,0.52659613
2021-02-18,Disapproval,0.37463042
2021-02-18,Approval,0.52552327
2021-02-18,Disapproval,0.41745196999999995
2021-02-18,Approval,0.5473700699999999
2021-02-18,Disapproval,0.37029437000000004
2021-02-18,Approval,0.53553495
2021-02-18,Disapproval,0.35131166999999996
2021-02-18,Approval,0.53553495
2021-02-18,Disapproval,0.35131166999999996
2021-02-18,Approval,0.53553495
2021-02-18,Disapproval,0.35131166999999996
2021-02-18,Approval,0.53553495
2021-02-18,Disapproval,0.36131167
2021-02-18,Approval,0.52553495
2021-02-18,Disapproval,0.36131167
2021-02-18,Approval,0.52553495
2021-02-18,Disapproval,0.36131167
2021-02-18,Approval,0.52553495
2021-02-18,Disapproval,0.36131167
2021-02-18,Approval,0.54492812
2021-02-18,Disapproval,0.36023597
2021-02-18,Approval,0.52799336
2021-02-18,Disapproval,0.42421348000000003
2021-02-19,Approval,0.54183597
2021-02-19,Disapproval,0.41429697
2021-02-19,Approval,0.51552327
2021-02-19,Disapproval,0.42745196999999996
2021-02-19,Approval,0.51755142
2021-02-19,Disapproval,0.36115361
2021-02-19,Approval,0.53755142
2021-02-19,Disapproval,0.38115361
2021-02-19,Approval,0.54370073
2021-02-19,Disapproval,0.42010219
2021-02-19,Approval,0.51799336
2021-02-19,Disapproval,0.43421348000000004
2021-02-02,Approval,0.46485593000000003
2021-02-02,Disapproval,0.2858767
2021-02-02,Approval,0.5458361899999999
2021-02-02,Disapproval,0.3647518
2021-02-02,Approval,0.5399294600000001
2021-02-02,Disapproval,0.36463042
2021-02-02,Approval,0.53552327
2021-02-02,Disapproval,0.38745197
2021-02-02,Approval,0.52518611
2021-02-02,Disapproval,0.38188048
2021-02-02,Approval,0.46266469
2021-02-02,Disapproval,0.27489514
2021-02-02,Approval,0.53886828
2021-02-02,Disapproval,0.35131166999999996
2021-02-02,Approval,0.54763144
2021-02-02,Disapproval,0.36670431000000003
2021-02-02,Approval,0.52628524
2021-02-02,Disapproval,0.38668766
